6i0kcqp7KYOnr73L0an6ie,עיניים ירוקות,Tango;Mickey Shaviv,https://i.scdn.co/image/ab67616d000048517e2e62c333916788e3d8685c
2ZjGTOyKMmmeUdV7NOvyNC,Rebel En Rats,Kurt Darren,https://i.scdn.co/image/ab67616d000048515b744b232a3734277df78b43
0r2ZBAHKX36U3do2a3E0Vd,Perigosa (feat. Anselmo Ralph),C4 Pedro;Anselmo Ralph,https://i.scdn.co/image/ab67616d00004851927cb15515f6aa99f1d7188f
3390Ama7VNT2nqEKy2jcoB,Más Vale Cholo,Molotov,https://i.scdn.co/image/ab67616d00004851bc90bd37bfc6035e2d3bf1c6
1XQf8t2uVntq3GCpJlICpw,Maronumo,Bracket,https://i.scdn.co/image/ab67616d00004851d329108f0fc6299be40652b6
4vVpnDULa8QGTIHxGAZMZM,El Machete,Los Hermanos Campos,https://i.scdn.co/image/ab67616d00004851498d3338b3d6a41b95f88bf8
0qFDJD1HnOTVTmc3EzedDe,Verano - (Summertime) Remastered 2015,Tony Ronald,https://i.scdn.co/image/ab67616d000048513d9d4b794dbf436cc4a38874
0nar8Mc8FD2SJ0QVoQ6ynt,Meine beste Freundin Conni (Intro-Song),Conni,https://i.scdn.co/image/ab67616d00004851c18a82ce33ddf0e3d52f265d
2IUvOmmanZF5eSiAVYiJCx,Close,Nick Jonas;Tove Lo,https://i.scdn.co/image/ab67616d000048514490d87959fba4f2c11210b5
0R3IQUMSyhd7DeKWXURU46,Sister Mary (No Hiding Place Down Here),Bill Jenkins and the Virginia Mountain Boys,https://i.scdn.co/image/ab67616d000048515d6f8d39b445f986f1eccedf
1ftk3jEhaZPpLjcuynFJXy,Love Myself,Hailee Steinfeld,https://i.scdn.co/image/ab67616d00004851b1898e6dac4c2cd833cebbea
1TIh2kvS7n9iQtlO5aHs06,Τέλεια Ατελείς,Marseaux;WNCfam,https://i.scdn.co/image/ab67616d000048512799fc6b06f9f13f3f2967cd
0ztfQ5ThvciZnP9I4HOYpS,Baila Casanova - Album Version - Spanish,Paulina Rubio,https://i.scdn.co/image/ab67616d00004851db94a32ce0280f35afb04284
0ex6zThzATQddj9a7BftPY,Kimse Karışmasın - Sansürsüz Versiyon,Mode XL,https://i.scdn.co/image/ab67616d00004851f5f9f3532b804039401e3385
6rok0MW3ze4KBEng4ZBAna,Vindaloo,Fat Les,https://i.scdn.co/image/ab67616d00004851387f5d96d6499c638f8f47f8
